_time,pgm_nm,media,rcv,tm,tmp1,new_sub,cur_sub,sum_sub
2019-10-22 00:00:00,달콤한밤,문자,16,0,2.3,0,7,7
2019-10-22 00:00:00,달콤한밤,Kakao,21,1,2.6,1,7,8
2019-10-22 00:00:00,달콤한밤,TBS,14,0,2.0,1,6,7
2019-10-22 00:00:00,러브레터,문자,6,0,1.2,0,5,5
2019-10-22 00:00:00,러브레터,Kakao,1,0,1.0,1,0,1
2019-10-22 00:00:00,러브레터,TBS,0,0,0.0,0,0,0
2019-10-22 00:00:00,노래하는FM,문자,8,0,1.0,2,6,8
2019-10-22 00:00:00,노래하는FM,Kakao,7,0,2.3,1,2,3
2019-10-22 00:00:00,노래하는FM,TBS,0,0,0.0,0,0,0
2019-10-22 00:00:00,일요클래식,문자,0,0,0.0,0,0,0
2019-10-22 00:00:00,일요클래식,Kakao,0,0,0.0,0,0,0
2019-10-22 00:00:00,일요클래식,TBS,0,0,0.0,0,0,0
2019-10-22 00:00:00,라디오를켜라,문자,97,26,1.5,12,51,63
2019-10-22 00:00:00,라디오를켜라,Kakao,89,31,2.5,1,35,36
2019-10-22 00:00:00,라디오를켜라,TBS,112,0,1.9,8,50,58
2019-10-22 00:00:00,김어준 뉴스공장 주말특근,문자,0,0,0.0,0,0,0
2019-10-22 00:00:00,김어준 뉴스공장 주말특근,Kakao,0,0,0.0,0,0,0
2019-10-22 00:00:00,김어준 뉴스공장 주말특근,TBS,1,0,1.0,1,0,1
2019-10-22 00:00:00,교통시대,문자,0,0,0.0,0,0,0
2019-10-22 00:00:00,교통시대,Kakao,0,0,0.0,0,0,0
2019-10-22 00:00:00,교통시대,TBS,0,0,0.0,0,0,0
2019-10-22 00:00:00,김어준 뉴스공장,문자,108,0,1.8,4,56,60
2019-10-22 00:00:00,김어준 뉴스공장,Kakao,101,0,5.1,0,20,20
2019-10-22 00:00:00,김어준 뉴스공장,TBS,2984,0,4.0,33,716,749
2019-10-22 00:00:00,tbs 아고라,문자,0,0,0.0,0,0,0
2019-10-22 00:00:00,tbs 아고라,Kakao,0,0,0.0,0,0,0
2019-10-22 00:00:00,tbs 아고라,TBS,0,0,0.0,0,0,0
2019-10-22 00:00:00,열린아침 김만흠,문자,0,0,0.0,0,0,0
2019-10-22 00:00:00,열린아침 김만흠,Kakao,0,0,0.0,0,0,0
2019-10-22 00:00:00,열린아침 김만흠,TBS,0,0,0.0,0,0,0
2019-10-22 00:00:00,김규리 퐁당퐁당,문자,103,8,1.3,22,60,82
2019-10-22 00:00:00,김규리 퐁당퐁당,Kakao,63,4,1.5,8,33,41
2019-10-22 00:00:00,김규리 퐁당퐁당,TBS,131,0,1.4,22,70,92
2019-10-22 00:00:00,기분좋은 토요일/일요일,문자,0,0,0.0,0,0,0
2019-10-22 00:00:00,기분좋은 토요일/일요일,Kakao,0,0,0.0,0,0,0
2019-10-22 00:00:00,기분좋은 토요일/일요일,TBS,0,0,0.0,0,0,0
2019-10-22 00:00:00,좋은사람들 송정애,문자,106,6,1.3,23,58,81
2019-10-22 00:00:00,좋은사람들 송정애,Kakao,107,6,2.5,8,34,42
2019-10-22 00:00:00,좋은사람들 송정애,TBS,89,0,2.5,7,29,36
2019-10-22 00:00:00,배칠수,문자,88,2,1.2,16,57,73
2019-10-22 00:00:00,배칠수,Kakao,81,0,1.8,0,44,44
2019-10-22 00:00:00,배칠수,TBS,185,0,2.5,7,68,75
2019-10-22 00:00:00,최일구,문자,334,8,1.4,39,202,241
2019-10-22 00:00:00,최일구,Kakao,238,4,2.6,7,86,93
2019-10-22 00:00:00,최일구,TBS,318,0,2.6,21,100,121
2019-10-22 00:00:00,진짜라디오,문자,0,0,0.0,0,0,0
2019-10-22 00:00:00,진짜라디오,Kakao,0,0,0.0,0,0,0
2019-10-22 00:00:00,진짜라디오,TBS,0,0,0.0,0,0,0
2019-10-22 00:00:00,이은미,문자,172,172,1.3,28,103,131
2019-10-22 00:00:00,이은미,Kakao,81,0,1.9,2,41,43
2019-10-22 00:00:00,이은미,TBS,148,0,2.2,11,56,67
2019-10-22 00:00:00,웅산,문자,0,0,0.0,0,0,0
2019-10-22 00:00:00,웅산,Kakao,0,0,0.0,0,0,0
2019-10-22 00:00:00,웅산,TBS,0,0,0.0,0,0,0
2019-10-22 00:00:00,김지윤,문자,31,0,1.4,4,18,22
2019-10-22 00:00:00,김지윤,Kakao,20,0,2.0,1,9,10
2019-10-22 00:00:00,김지윤,TBS,51,0,1.8,4,24,28
2019-10-22 00:00:00,아닌밤중 주진우,문자,117,2,1.8,30,34,64
2019-10-22 00:00:00,아닌밤중 주진우,Kakao,43,0,1.5,14,14,28
2019-10-22 00:00:00,아닌밤중 주진우,TBS,194,0,2.5,24,53,77
2019-10-22 00:00:00,주말이 좋다,문자,0,0,0.0,0,0,0
2019-10-22 00:00:00,주말이 좋다,Kakao,0,0,0.0,0,0,0
2019-10-22 00:00:00,주말이 좋다,TBS,0,0,0.0,0,0,0
2019-10-22 00:00:00,우리동네 라디오,문자,3,0,1.0,3,0,3
2019-10-22 00:00:00,우리동네 라디오,Kakao,0,0,0.0,0,0,0
2019-10-22 00:00:00,우리동네 라디오,TBS,0,0,0.0,0,0,0
2019-10-22 00:00:00,서울브루스,문자,5,0,1.0,3,2,5
2019-10-22 00:00:00,서울브루스,Kakao,6,0,1.5,2,2,4
2019-10-22 00:00:00,서울브루스,TBS,15,0,5.0,1,2,3
2019-10-22 00:00:00,마이웨이,문자,29,0,1.7,10,7,17
2019-10-22 00:00:00,마이웨이,Kakao,58,0,4.1,4,10,14
2019-10-22 00:00:00,마이웨이,TBS,327,0,9.9,14,19,33
